https://github.com/cloudinary/cloudinary_npm: BusFactor=high, RampUp=medium, Correctness=stable, Responsiveness=good, License=compatible
https://www.npmjs.com/package/express: BusFactor=high, RampUp=low, Correctness=high, Responsiveness=high, License=compatible
https://github.com/nullivex/nodist: BusFactor=high, RampUp=medium, Correctness=moderate, Responsiveness=moderate, License=compatible
https://github.com/lodash/lodash: BusFactor=high, RampUp=low, Correctness=high, Responsiveness=high, License=compatible
https://www.npmjs.com/package/browserify: BusFactor=high, RampUp=medium, Correctness=stable, Responsiveness=good, License=compatible
https://github.com/facebook/react: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=high, License=compatible
https://www.npmjs.com/package/axios: BusFactor=high, RampUp=low, Correctness=high, Responsiveness=high, License=compatible
https://github.com/moment/moment: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=moderate, License=compatible
https://www.npmjs.com/package/chalk: BusFactor=high, RampUp=low, Correctness=stable, Responsiveness=good, License=compatible
https://github.com/tj/commander.js: BusFactor=high, RampUp=low, Correctness=high, Responsiveness=high, License=compatible
https://github.com/vuejs/vue: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=high, License=compatible
https://www.npmjs.com/package/async: BusFactor=high, RampUp=medium, Correctness=moderate, Responsiveness=moderate, License=compatible
https://github.com/reduxjs/redux: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=high, License=compatible
https://www.npmjs.com/package/lodash: BusFactor=high, RampUp=low, Correctness=high, Responsiveness=high, License=compatible
https://github.com/microsoft/TypeScript: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=high, License=compatible
https://www.npmjs.com/package/mongoose: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=moderate, License=compatible
https://github.com/socketio/socket.io: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=high, License=compatible
https://www.npmjs.com/package/jest: BusFactor=high, RampUp=low, Correctness=high, Responsiveness=high, License=compatible
https://github.com/webpack/webpack: BusFactor=high, RampUp=medium, Correctness=high, Responsiveness=high, License=compatible
https://www.npmjs.com/package/pug: BusFactor=moderate, RampUp=medium, Correctness=stable, Responsiveness=moderate, License=compatible
